Macro area: Civile – Contenzioso ordinario | Procedimento: Citazione civile;;;;;;;;;;;;;
Macro area;Procedimento;Parte processuale (Attore/Ricorrente/Convenuto/Resistente/Comune);Evento base inserito dall'utente;Evento / Scadenza;Direzione calcolo (+ / -);Numero;Unità (giorni/mesi/anni);Tipo termine (perentorio/ordinatorio);Termine libero (SI/NO);Sospensione feriale (SI/NO);Proroga festivi (SI/NO);Norma di riferimento;Note operative
Civile – contenzioso ordinario;Citazione civile;Attore;Data notifica atto di citazione - Data prima udienza;Notifica atto di citazione;;;;input/manuale;;;;Art. 163 e 163-bis c.p.c.;"Evento da parametrizzare in base al termine a comparire; utile distinguere notifica Italia/estero e abbreviazione termini."
Civile – contenzioso ordinario;Citazione civile;Attore;Data prima udienza;Iscrizione a ruolo/Costituzione attore;+;10;giorni;perentorio;NO;SI;SI;Art. 165 c.p.c.;Regola ordinaria: entro 10 giorni dalla prima notificazione, salvo termini ridotti o particolarità del rito.
Civile – contenzioso ordinario;Citazione civile;Convenuto;Data prima udienza - Data udienza di comparizione;Costituzione convenuto;-;70;giorni;perentorio;NO;SI;SI;Art. 166 c.p.c.;Scadenza a ritroso rispetto alla data udienza di comparizione (70 gg prima). Per Prima udienza e Memorie 171-ter si usa Data prima udienza.
Civile – contenzioso ordinario;Citazione civile;Comune;Data prima udienza;Prima udienza;;;;input/manuale;;;;Art. 183 c.p.c.;Data ancora della pratica: da questa si calcolano i termini a ritroso delle memorie 171-ter.
Civile – contenzioso ordinario;Citazione civile;Comune;Data prima udienza;Memoria 171-ter n.1;-;40;giorni;perentorio;NO;SI;SI;Art. 171-ter c.p.c.;Prima memoria integrativa / precisazione e modificazione domande, eccezioni e conclusioni nei limiti di legge.
Civile – contenzioso ordinario;Citazione civile;Comune;Data prima udienza;Memoria 171-ter n.2;-;20;giorni;perentorio;NO;SI;SI;Art. 171-ter c.p.c.;Replica e indicazione mezzi di prova / produzioni nei limiti consentiti.
Civile – contenzioso ordinario;Citazione civile;Comune;Data prima udienza;Memoria 171-ter n.3;-;10;giorni;perentorio;NO;SI;SI;Art. 171-ter c.p.c.;Prova contraria e indicazioni istruttorie conseguenti.
Civile – contenzioso ordinario;Citazione civile;Comune;Data inserita dall'utente;Udienza istruttoria;;;;input/manuale;;;;;"Evento successivo eventualmente fissato dal giudice; non automaticamente ricavabile in modo affidabile."
Civile – contenzioso ordinario;Citazione civile;Comune;Data inserita dall'utente;Udienza conclusioni;;;;input/manuale;;;;;"Data da inserire manualmente; da qui possono derivare termini conclusionali solo se il modello processuale li prevede e il giudice li assegna."
Civile – contenzioso ordinario;Citazione civile;Comune;Provvedimento del giudice / data udienza conclusioni;Note precisazione conclusioni ;;;;da parametrizzare;;;;Art. 189 c.p.c. / provvedimento del giudice;Conviene gestirle come evento manuale o come regola parametrica separata, perché la decorrenza può dipendere dal provvedimento di rimessione in decisione.
Civile – contenzioso ordinario;Citazione civile;Comune;Provvedimento del giudice / data assegnazione termini;Comparsa conclusionale;;;;da parametrizzare;;;;Art. 189 c.p.c. / provvedimento del giudice;Meglio non automatizzarla in questa prima versione senza distinguere bene il momento da cui decorre il termine.
Civile – contenzioso ordinario;Citazione civile;Comune;Provvedimento del giudice / data assegnazione termini;Memoria di replica;;;;da parametrizzare;;;;Art. 189 c.p.c. / provvedimento del giudice;Meglio non automatizzarla in questa prima versione senza distinguere bene il momento da cui decorre il termine.
Civile – contenzioso ordinario;Citazione civile;Comune;Data pubblicazione/deposito sentenza;Sentenza (per calcolare termini appello/Ric. Cassazione);;;;input/manuale;;;;"Art. 327 c.p.c.; artt. 325, 326 c.p.c.";Data chiave per il termine lungo di impugnazione se manca la notifica della sentenza.
Civile – contenzioso ordinario;Citazione civile;Comune;Data notifica sentenza;Notifica sentenza (per calcolare termini appello/Ric. Cassazione);;;;input/manuale;;;;Artt. 325 e 326 c.p.c.;"Data chiave per il termine breve di impugnazione; da essa dipendono appello e ricorso per cassazione."
;;;;;;;;;;;;;
;;;;;;;;;;;;;
