Macro area;Procedimento;Parte processuale (Attore/Ricorrente/Convenuto/Resistente/Comune);Evento base inserito dall'utente;Evento / Scadenza;Direzione calcolo (+ / -);Numero;Unità (giorni/mesi/anni);Tipo termine (perentorio/ordinatorio/manuale/non applicabile/da parametrizzare);Termine libero (SI/NO);Sospensione feriale (SI/NO);Proroga festivi (SI/NO);Norma di riferimento;Note operative
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Attore / Ricorrente;Data deposito ricorso;Iscrizione a ruolo/Costituzione attore;;;;;;;;Art. 281-undecies c.p.c.;"Il ricorso introduce il procedimento con deposito; il giudice emette il decreto di fissazione udienza che dovrà essere notficato nei termini fissati dal giudice. Questa riga è tenuta nel template come evento di sistema, ma va letta come fase già assorbita dal deposito del ricorso."
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Attore / Ricorrente;Data prima udienza;Notifica Ricorso e decreto;-;40;giorni;perentorio;NO;SI;NO;Art. 281-undecies c.p.c.;Il ricorrente deve notificare Ricorso e Decreto al Convenuto almeno 40 giorni liberi prima dell'udienza o nel diverso termine fissato dal giudice. Se il luogo della notificazone è all'estero la notifica va fatta almeno 60 giorni prima dell'udienza o nel diverso termine fissato dal giudice
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Convenuto / Resistente;Data prima udienza;Costituzione convenuto;-;10;giorni;perentorio;NO;SI;SI;Art. 281-undecies c.p.c.;Il convenuto deve costituirsi non oltre 10 giorni prima dell'udienza.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Data prima udienza;Prima udienza;;;;manuale;NO;NO;NO;Art. 281-undecies c.p.c.;Udienza fissata con decreto del giudice.  Questo dato è lo stesso di riferimento per la notiia del ricorso e del decreto al convenuto e per la costituzione del convenuto
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Applicabile a richiesta;Memoria 171 ter n.1;;;;non applicabile;NO;NO;NO;Art. 281 duodecies c.p.c.;Le memorie 171-ter appartengono al rito ordinario e non al rito semplificato ma il giudice può disporle, da non automatizzare ma prevedere la possibilità di inserimento manuale.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Applicabile a richiesta;Memoria 171 ter n.2;;;;non applicabile;NO;NO;NO;Art. 281 duodecies c.p.c.;Le memorie 171-ter appartengono al rito ordinario e non al rito semplificato ma il giudice può disporle, da non automatizzare ma prevedere la possibilità di inserimento manuale.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Applicabile a richiesta;Memoria 171 ter n.3;;;;non applicabile;NO;NO;NO;Art. 281 duodecies c.p.c.;Le memorie 171-ter appartengono al rito ordinario e non al rito semplificato ma il giudice può disporle, da non automatizzare ma prevedere la possibilità di inserimento manuale.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Data fissata dal giudice;Udienza istruttoria;;;;manuale;NO;NO;NO;Art. 281-duodecies c.p.c.;"Eventuale udienza successiva; nel rito semplificato l'istruzione è concentrata e può essere gestita anche alla prima udienza."
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Data fissata dal giudice;Udienza conclusioni;;;;manuale;NO;NO;NO;Art. 281-duodecies c.p.c.;Evento manuale: la fase decisoria può essere orale oppure con termini scritti assegnati dal giudice.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Provvedimento del giudice;Note conclusionali;;;;da parametrizzare;NO;SI;SI;Art. 281-duodecies, comma 4, c.p.c.;Solo se il giudice assegna termini per note difensive o conclusionali.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Provvedimento del giudice;Memoria di replica;;;;da parametrizzare;NO;SI;SI;Art. 281-duodecies, comma 4, c.p.c.;Solo se il giudice assegna un ulteriore termine scritto.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Data deposito/pubblicazione sentenza;Sentenza (per calcolare termini appello/Ric Cassazione);;;;manuale;NO;NO;NO;Artt. 325 e 327 c.p.c.;Data base per il termine lungo di impugnazione: in generale 6 mesi dalla pubblicazione se la sentenza non è notificata.
Civile – contenzioso ordinario;Ricorso (rito semplificato) – post Riforma Cartabia;Comune;Data notifica sentenza;Notifica Sentenza (per calcolare termini appello/Ric Cassazione);;;;manuale;NO;NO;NO;Artt. 325 e 326 c.p.c.;"Data base per il termine breve di impugnazione: in generale 30 giorni per l'appello dalla notifica della sentenza; 60 giorni per il ricorso per cassazione quando applicabile."
